time,ts,count,type
2012-11-02 14:05:00,1351865100,0,coned
2012-11-02 14:10:00,1351865400,0,coned
2012-11-02 14:15:00,1351865700,0,coned
2012-11-02 14:20:00,1351866000,1,coned
2012-11-02 14:25:00,1351866300,0,coned
2012-11-02 14:30:00,1351866600,0,coned
2012-11-02 14:35:00,1351866900,0,coned
2012-11-02 14:40:00,1351867200,0,coned
2012-11-02 14:45:00,1351867500,0,coned
2012-11-02 14:50:00,1351867800,0,coned
2012-11-02 14:55:00,1351868100,0,coned
2012-11-02 15:00:00,1351868400,0,coned
2012-11-02 15:05:00,1351868700,1,coned
2012-11-02 15:10:00,1351869000,0,coned
2012-11-02 15:15:00,1351869300,0,coned
2012-11-02 15:20:00,1351869600,0,coned
2012-11-02 15:25:00,1351869900,0,coned
2012-11-02 15:30:00,1351870200,0,coned
2012-11-02 15:35:00,1351870500,0,coned
2012-11-02 15:40:00,1351870800,0,coned
2012-11-02 15:45:00,1351871100,0,coned
2012-11-02 15:50:00,1351871400,0,coned
2012-11-02 15:55:00,1351871700,0,coned
2012-11-02 16:00:00,1351872000,0,coned
2012-11-02 16:05:00,1351872300,0,coned
2012-11-02 16:10:00,1351872600,0,coned
2012-11-02 16:15:00,1351872900,0,coned
2012-11-02 16:20:00,1351873200,0,coned
2012-11-02 16:25:00,1351873500,0,coned
2012-11-02 16:30:00,1351873800,0,coned
2012-11-02 16:35:00,1351874100,0,coned
2012-11-02 16:40:00,1351874400,0,coned
2012-11-02 16:45:00,1351874700,0,coned
2012-11-02 16:50:00,1351875000,0,coned
2012-11-02 16:55:00,1351875300,6,coned
2012-11-02 17:00:00,1351875600,2,coned
2012-11-02 17:05:00,1351875900,0,coned
2012-11-02 17:10:00,1351876200,0,coned
2012-11-02 17:15:00,1351876500,1,coned
2012-11-02 17:20:00,1351876800,1,coned
2012-11-02 17:25:00,1351877100,0,coned
2012-11-02 17:30:00,1351877400,0,coned
2012-11-02 17:35:00,1351877700,0,coned
2012-11-02 17:40:00,1351878000,1,coned
2012-11-02 17:45:00,1351878300,0,coned
2012-11-02 17:50:00,1351878600,0,coned
2012-11-02 17:55:00,1351878900,3,coned
2012-11-02 18:00:00,1351879200,5,coned
2012-11-02 18:05:00,1351879500,11,coned
2012-11-02 18:10:00,1351879800,8,coned
2012-11-02 18:15:00,1351880100,12,coned
2012-11-02 18:20:00,1351880400,4,coned
2012-11-02 18:25:00,1351880700,4,coned
2012-11-02 18:30:00,1351881000,5,coned
2012-11-02 18:35:00,1351881300,12,coned
2012-11-02 18:40:00,1351881600,3,coned
2012-11-02 18:45:00,1351881900,6,coned
2012-11-02 18:50:00,1351882200,3,coned
2012-11-02 18:55:00,1351882500,1,coned
2012-11-02 19:00:00,1351882800,1,coned
2012-11-02 19:05:00,1351883100,1,coned
2012-11-02 19:10:00,1351883400,2,coned
2012-11-02 19:15:00,1351883700,1,coned
2012-11-02 19:20:00,1351884000,0,coned
