time,ts,count,type
2012-11-03 06:09:00,1351922940,0,real
2012-11-03 06:14:00,1351923240,0,real
2012-11-03 06:19:00,1351923540,0,real
2012-11-03 06:24:00,1351923840,0,real
2012-11-03 06:29:00,1351924140,0,real
2012-11-03 06:34:00,1351924440,0,real
2012-11-03 06:39:00,1351924740,0,real
2012-11-03 06:44:00,1351925040,0,real
2012-11-03 06:49:00,1351925340,0,real
2012-11-03 06:54:00,1351925640,0,real
2012-11-03 06:59:00,1351925940,1,real
2012-11-03 07:04:00,1351926240,0,real
2012-11-03 07:09:00,1351926540,0,real
2012-11-03 07:14:00,1351926840,1,real
2012-11-03 07:19:00,1351927140,0,real
2012-11-03 07:24:00,1351927440,0,real
2012-11-03 07:29:00,1351927740,0,real
2012-11-03 07:34:00,1351928040,0,real
2012-11-03 07:39:00,1351928340,0,real
2012-11-03 07:44:00,1351928640,0,real
2012-11-03 07:49:00,1351928940,0,real
2012-11-03 07:54:00,1351929240,0,real
2012-11-03 07:59:00,1351929540,1,real
2012-11-03 08:04:00,1351929840,0,real
2012-11-03 08:09:00,1351930140,0,real
2012-11-03 08:14:00,1351930440,0,real
2012-11-03 08:19:00,1351930740,0,real
2012-11-03 08:24:00,1351931040,0,real
2012-11-03 08:29:00,1351931340,0,real
2012-11-03 08:34:00,1351931640,0,real
2012-11-03 08:39:00,1351931940,0,real
2012-11-03 08:44:00,1351932240,0,real
2012-11-03 08:49:00,1351932540,0,real
2012-11-03 08:54:00,1351932840,0,real
2012-11-03 08:59:00,1351933140,0,real
2012-11-03 09:04:00,1351933440,0,real
2012-11-03 09:09:00,1351933740,0,real
2012-11-03 09:14:00,1351934040,0,real
2012-11-03 09:19:00,1351934340,0,real
2012-11-03 09:24:00,1351934640,1,real
2012-11-03 09:29:00,1351934940,0,real
2012-11-03 09:34:00,1351935240,0,real
2012-11-03 09:39:00,1351935540,0,real
2012-11-03 09:44:00,1351935840,0,real
2012-11-03 09:49:00,1351936140,0,real
2012-11-03 09:54:00,1351936440,0,real
2012-11-03 09:59:00,1351936740,0,real
2012-11-03 10:04:00,1351937040,0,real
2012-11-03 10:09:00,1351937340,0,real
2012-11-03 10:14:00,1351937640,1,real
2012-11-03 10:19:00,1351937940,0,real
2012-11-03 10:24:00,1351938240,0,real
2012-11-03 10:29:00,1351938540,0,real
2012-11-03 10:34:00,1351938840,0,real
2012-11-03 10:39:00,1351939140,0,real
2012-11-03 10:44:00,1351939440,0,real
2012-11-03 10:49:00,1351939740,0,real
2012-11-03 10:54:00,1351940040,0,real
2012-11-03 10:59:00,1351940340,0,real
2012-11-03 11:04:00,1351940640,0,real
2012-11-03 11:09:00,1351940940,0,real
2012-11-03 11:14:00,1351941240,0,real
2012-11-03 11:19:00,1351941540,1,real
2012-11-03 11:24:00,1351941840,0,real
2012-11-03 11:29:00,1351942140,0,real
2012-11-03 11:34:00,1351942440,0,real
2012-11-03 11:39:00,1351942740,0,real
2012-11-03 11:44:00,1351943040,0,real
2012-11-03 11:49:00,1351943340,0,real
2012-11-03 11:54:00,1351943640,0,real
2012-11-03 11:59:00,1351943940,0,real
2012-11-03 12:04:00,1351944240,0,real
2012-11-03 12:09:00,1351944540,0,real
2012-11-03 12:14:00,1351944840,0,real
2012-11-03 12:19:00,1351945140,0,real
2012-11-03 12:24:00,1351945440,0,real
2012-11-03 12:29:00,1351945740,0,real
2012-11-03 12:34:00,1351946040,0,real
2012-11-03 12:39:00,1351946340,0,real
2012-11-03 12:44:00,1351946640,1,real
2012-11-03 12:49:00,1351946940,0,real
2012-11-03 12:54:00,1351947240,1,real
2012-11-03 12:59:00,1351947540,0,real
2012-11-03 13:04:00,1351947840,0,real
2012-11-03 13:09:00,1351948140,0,real
2012-11-03 13:14:00,1351948440,0,real
2012-11-03 13:19:00,1351948740,0,real
2012-11-03 13:24:00,1351949040,1,real
2012-11-03 13:29:00,1351949340,0,real
2012-11-03 13:34:00,1351949640,0,real
2012-11-03 13:39:00,1351949940,0,real
2012-11-03 13:44:00,1351950240,0,real
2012-11-03 13:49:00,1351950540,0,real
2012-11-03 13:54:00,1351950840,0,real
2012-11-03 13:59:00,1351951140,0,real
2012-11-03 14:04:00,1351951440,0,real
2012-11-03 14:09:00,1351951740,0,real
2012-11-03 14:14:00,1351952040,0,real
2012-11-03 14:19:00,1351952340,0,real
2012-11-03 14:24:00,1351952640,0,real
2012-11-03 14:29:00,1351952940,0,real
2012-11-03 14:34:00,1351953240,0,real
2012-11-03 14:39:00,1351953540,0,real
2012-11-03 14:44:00,1351953840,0,real
2012-11-03 14:49:00,1351954140,0,real
2012-11-03 14:54:00,1351954440,0,real
2012-11-03 14:59:00,1351954740,0,real
2012-11-03 15:04:00,1351955040,0,real
2012-11-03 15:09:00,1351955340,1,real
2012-11-03 15:14:00,1351955640,1,real
2012-11-03 15:19:00,1351955940,0,real
2012-11-03 15:24:00,1351956240,0,real
2012-11-03 15:29:00,1351956540,0,real
2012-11-03 15:34:00,1351956840,0,real
2012-11-03 15:39:00,1351957140,1,real
2012-11-03 15:44:00,1351957440,0,real
2012-11-03 15:49:00,1351957740,1,real
2012-11-03 15:54:00,1351958040,0,real
2012-11-03 15:59:00,1351958340,0,real
2012-11-03 16:04:00,1351958640,0,real
2012-11-03 16:09:00,1351958940,0,real
2012-11-03 16:14:00,1351959240,0,real
2012-11-03 16:19:00,1351959540,0,real
2012-11-03 16:24:00,1351959840,0,real
2012-11-03 16:29:00,1351960140,0,real
2012-11-03 16:34:00,1351960440,0,real
2012-11-03 16:39:00,1351960740,0,real
2012-11-03 16:44:00,1351961040,0,real
2012-11-03 16:49:00,1351961340,0,real
2012-11-03 16:54:00,1351961640,0,real
2012-11-03 16:59:00,1351961940,0,real
2012-11-03 17:04:00,1351962240,0,real
2012-11-03 17:09:00,1351962540,0,real
2012-11-03 17:14:00,1351962840,0,real
2012-11-03 17:19:00,1351963140,0,real
2012-11-03 17:24:00,1351963440,0,real
2012-11-03 17:29:00,1351963740,0,real
2012-11-03 17:34:00,1351964040,0,real
2012-11-03 17:39:00,1351964340,0,real
2012-11-03 17:44:00,1351964640,0,real
2012-11-03 17:49:00,1351964940,0,real
2012-11-03 17:54:00,1351965240,0,real
2012-11-03 17:59:00,1351965540,0,real
2012-11-03 18:04:00,1351965840,0,real
2012-11-03 18:09:00,1351966140,0,real
2012-11-03 18:14:00,1351966440,0,real
2012-11-03 18:19:00,1351966740,0,real
2012-11-03 18:24:00,1351967040,0,real
2012-11-03 18:29:00,1351967340,0,real
2012-11-03 18:34:00,1351967640,0,real
2012-11-02 21:49:00,1351892940,0.0,gammaFit
2012-11-02 21:54:00,1351893240,84.3304596063,gammaFit
2012-11-02 21:59:00,1351893540,94.0964215943,gammaFit
2012-11-02 22:04:00,1351893840,88.6059805467,gammaFit
2012-11-02 22:09:00,1351894140,77.8357612924,gammaFit
2012-11-02 22:14:00,1351894440,65.820589974,gammaFit
2012-11-02 22:19:00,1351894740,54.3358595097,gammaFit
2012-11-02 22:24:00,1351895040,44.1158312029,gammaFit
2012-11-02 22:29:00,1351895340,35.385074981,gammaFit
2012-11-02 22:34:00,1351895640,28.1197427388,gammaFit
2012-11-02 22:39:00,1351895940,22.1829934774,gammaFit
2012-11-02 22:44:00,1351896240,17.3961944765,gammaFit
2012-11-02 22:49:00,1351896540,13.5757040101,gammaFit
2012-11-02 22:54:00,1351896840,10.5507959943,gammaFit
2012-11-02 22:59:00,1351897140,8.17123544048,gammaFit
2012-11-02 23:04:00,1351897440,6.30928042339,gammaFit
2012-11-02 23:09:00,1351897740,4.85882007021,gammaFit
2012-11-02 23:14:00,1351898040,3.7331817668,gammaFit
2012-11-02 23:19:00,1351898340,2.86246034198,gammaFit
2012-11-02 23:24:00,1351898640,2.19082614879,gammaFit
2012-11-02 23:29:00,1351898940,1.67403959436,gammaFit
2012-11-02 23:34:00,1351899240,1.27726873311,gammaFit
2012-11-02 23:39:00,1351899540,0.973233987854,gammaFit
2012-11-02 23:44:00,1351899840,0.74066599518,gammaFit
2012-11-02 23:49:00,1351900140,0.563044619346,gammaFit
2012-11-02 23:54:00,1351900440,0.427580680028,gammaFit
2012-11-02 23:59:00,1351900740,0.324401696523,gammaFit
2012-11-03 00:04:00,1351901040,0.245905879839,gammaFit
2012-11-03 00:09:00,1351901340,0.186252904539,gammaFit
